,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
320,AUBURN GRESHAM,10.0,230.0,2014-05-01,2014,5,779,2014-06-01
321,OAKLAND,2.0,17.0,2014-05-01,2014,5,67,2014-06-01
322,ROSELAND,31.0,238.0,2014-05-01,2014,5,665,2014-06-01
323,NORWOOD PARK,27.0,385.0,2014-05-01,2014,5,108,2014-06-01
324,NEAR NORTH SIDE,177.0,198.0,2014-05-01,2014,5,794,2014-06-01
325,NORTH PARK,128.0,64.0,2014-05-01,2014,5,68,2014-06-01
326,GRAND BOULEVARD,6.0,71.0,2014-05-01,2014,5,343,2014-06-01
327,ARMOUR SQUARE,66.0,68.0,2014-05-01,2014,5,117,2014-06-01
328,LOWER WEST SIDE,635.0,193.0,2014-05-01,2014,5,243,2014-06-01
329,ENGLEWOOD,29.0,134.0,2014-05-01,2014,5,647,2014-06-01
330,MCKINLEY PARK,359.0,86.0,2014-05-01,2014,5,91,2014-06-01
331,EDGEWATER,225.0,78.0,2014-05-01,2014,5,210,2014-06-01
332,LOGAN SQUARE,928.0,373.0,2014-05-01,2014,5,488,2014-06-01
333,GAGE PARK,412.0,179.0,2014-05-01,2014,5,247,2014-06-01
334,JEFFERSON PARK,89.0,219.0,2014-05-01,2014,5,118,2014-06-01
